,ytest,y_pred_lgb,y_pred_svr
8,4.95,8.435904838629254,4.2786531138089705
45,7.39,5.383633397182893,5.996458712142662
44,13.4,9.342174681641886,5.856049918139913
37,12.6,8.435904838629254,6.338146562808669
40,5.0,8.405365298353859,7.152817801792912
31,1.87,2.6217396213493256,5.134541428867892
9,1.43,8.435904838629254,5.727233531264819
29,7.64,7.424272582881678,6.319976876358506
43,3.33,9.342174681641886,6.3656125618604555
1,8.38,5.684369833504344,4.690109413395008
63,5.35,7.675288944789342,6.595184823357126
69,6.09,7.675288944789342,6.689336055779551
23,3.92,2.6217396213493256,3.8114824366736726
48,3.5,4.348210953708862,5.944979627118048
64,6.72,5.457530221249692,5.193813802273056
24,4.05,2.6217396213493256,4.893472226305252
62,16.0,9.342174681641886,5.6832916047629585
65,5.63,5.09720818942125,4.520153870795784
58,12.2,9.342174681641886,7.344662835451359
51,3.16,4.551260378237058,3.3858414168531317
6,9.18,7.424272582881678,6.388463377247237
